key,button
"0:0","[`, ~]"
"0:1","[1, !]"
"0:2","[2, @]"
"0:3","[3, #]"
"0:4","[4, $]"
"0:5","[5, %]"
"0:6","[6, ^]"
"0:7","[7, &]"
"0:8","[8, *]"
"0:9","[9, (]"
"0:10","[0, )]"
"0:11","[-, _]"
"0:12","[=, +]"
"0:13","["backspace"]"
"1:0","["tab"]"
"1:1","[q, Q]"
"1:2","[w, W]"
"1:3","[e, E]"
"1:4","[r, R]"
"1:5","[t, T]"
"1:6","[y, Y]"
"1:7","[u, U]"
"1:8","[i, I]"
"1:9","[o, O]"
"1:10","[p, P]"
"1:11","[[, {]"
"1:12","[ ], }]"
"1:13","[\, |]"
"2:0","["caps lock"]"
"2:1","[a, A]"
"2:2","[s, S]"
"2:3","[d, D]"
"2:4","[f, F]"
"2:5","[g, G]"
"2:6","[h, H]"
"2:7","[j, J]"
"2:8","[k, K]"
"2:9","[l, L]"
"2:10","[;, :]"
"2:11","[', \"]"
"2:12","["enter"]"
"3:0","["shiftL"]"
"3:1","[z, Z]"
"3:2","[x, X]"
"3:3","[c, C]"
"3:4","[v, V]"
"3:5","[b, B]"
"3:6","[n, N]"
"3:7","[m, M]"
"3:8","[,, <]"
"3:9","[., >]"
"3:10","[/, ?]"
"3:11","["right shift"]"
"4:0","["ctrl"]"
"4:1","["left windows"]"
"4:2","["alt"]"
"4:3","["space"]"
"4:4","["right alt"]"
"4:5","["fn"]"
"4:6","["right ctrl"]"